product_id,unit_price,unit_cost
1,41,36.9
2,49,44.1
3,17,15.3
4,38,34.2
5,19,17.1
6,37,33.3
7,16,14.4
8,10,9
9,42,37.8
10,38,34.2
11,43,38.7
12,48,43.2
13,26,23.4
14,29,26.1
15,8,7.2
16,42,37.8
17,10,9
18,26,23.4
19,9,8.1
20,35,31.5
21,42,37.8
22,8,7.2
23,23,20.7
24,44,39.6
25,46,41.4
26,33,29.7
27,26,23.4
28,8,7.2
29,27,24.3
30,26,23.4
31,19,17.1
32,26,23.4
33,30,27
34,25,22.5
35,38,34.2
36,10,9
37,15,13.5
38,39,35.1
39,39,35.1
40,42,37.8
41,45,40.5
42,8,7.2
43,7,6.3
44,29,26.1
45,7,6.3
46,18,16.2
47,24,21.6
48,30,27
49,31,27.9
50,17,15.3
51,31,27.9
52,11,9.9
53,6,5.4
54,32,28.8
55,50,45
56,32,28.8
57,40,36
58,10,9
59,25,22.5
60,30,27
61,42,37.8
62,27,24.3
63,6,5.4
64,17,15.3
65,24,21.6
66,12,10.8
67,8,7.2
68,21,18.9
69,5,4.5
70,6,5.4
71,43,38.7
72,40,36
73,39,35.1
74,20,18
75,22,19.8
76,9,8.1
77,50,45
78,24,21.6
79,5,4.5
80,15,13.5
81,25,22.5
82,16,14.4
83,22,19.8
84,9,8.1
85,45,40.5
86,35,31.5
87,32,28.8
88,5,4.5
89,5,4.5
90,13,11.7
91,13,11.7
92,41,36.9
93,20,18
94,41,36.9
95,9,8.1
96,36,32.4
97,36,32.4
98,41,36.9
99,16,14.4
100,12,10.8
101,20,18
102,29,26.1
103,29,26.1
104,24,21.6
105,20,18
106,35,31.5
107,47,42.3
108,11,9.9
109,14,12.6
110,34,30.6
111,41,36.9
112,6,5.4
113,40,36
114,9,8.1
115,7,6.3
116,8,7.2
117,29,26.1
118,18,16.2
119,47,42.3
120,49,44.1
121,17,15.3
122,15,13.5
123,13,11.7
124,18,16.2
125,13,11.7
126,22,19.8
127,48,43.2
128,45,40.5
129,18,16.2
130,15,13.5
131,34,30.6
132,31,27.9
133,32,28.8
134,26,23.4
135,24,21.6
136,30,27
137,23,20.7
138,11,9.9
139,37,33.3
140,37,33.3
141,36,32.4
142,23,20.7
143,14,12.6
144,45,40.5
145,14,12.6
146,46,41.4
147,9,8.1
148,49,44.1
149,31,27.9
150,41,36.9
151,20,18
152,42,37.8
153,33,29.7
154,38,34.2
155,10,9
156,25,22.5
157,44,39.6
158,33,29.7
159,29,26.1
160,24,21.6
161,8,7.2
162,30,27
163,45,40.5
164,26,23.4
165,45,40.5
166,5,4.5
167,9,8.1
168,12,10.8
169,11,9.9
170,35,31.5
171,11,9.9
172,17,15.3
173,19,17.1
174,9,8.1
175,49,44.1
176,30,27
177,15,13.5
178,27,24.3
179,10,9
180,15,13.5
181,46,41.4
182,16,14.4
183,38,34.2
184,10,9
185,29,26.1
186,13,11.7
187,8,7.2
188,10,9
189,10,9
190,36,32.4
191,49,44.1
192,34,30.6
193,13,11.7
194,20,18
195,38,34.2
196,38,34.2
197,16,14.4
198,50,45
199,6,5.4
200,15,13.5
201,48,43.2
202,49,44.1
203,48,43.2
204,48,43.2
205,12,10.8
206,48,43.2
207,13,11.7
208,49,44.1
209,30,27
210,6,5.4
211,40,36
212,45,40.5
213,25,22.5
214,19,17.1
215,11,9.9
216,15,13.5
217,22,19.8
218,37,33.3
219,15,13.5
220,27,24.3
221,19,17.1
222,44,39.6
223,47,42.3
224,12,10.8
225,21,18.9
226,23,20.7
227,37,33.3
228,43,38.7
229,37,33.3
230,19,17.1
231,42,37.8
232,15,13.5
233,25,22.5
234,10,9
235,15,13.5
236,12,10.8
237,5,4.5
238,48,43.2
239,37,33.3
240,24,21.6
241,31,27.9
242,10,9
243,17,15.3
244,15,13.5
245,27,24.3
246,10,9
247,29,26.1
248,39,35.1
249,49,44.1
250,28,25.2
251,50,45
252,35,31.5
253,20,18
254,25,22.5
255,7,6.3
256,49,44.1
257,15,13.5
258,23,20.7
259,22,19.8
260,19,17.1
261,45,40.5
262,36,32.4
263,14,12.6
264,31,27.9
265,25,22.5
266,29,26.1
267,19,17.1
268,5,4.5
269,13,11.7
270,5,4.5
271,27,24.3
272,8,7.2
273,45,40.5
274,24,21.6
275,36,32.4
276,18,16.2
277,6,5.4
278,19,17.1
279,32,28.8
280,20,18
281,48,43.2
282,11,9.9
283,22,19.8
284,41,36.9
285,6,5.4
286,12,10.8
287,40,36
288,9,8.1
289,9,8.1
290,37,33.3
291,14,12.6
292,5,4.5
293,29,26.1
294,37,33.3
295,19,17.1
296,23,20.7
297,5,4.5
298,48,43.2
299,38,34.2
300,22,19.8
301,13,11.7
302,40,36
303,48,43.2
304,10,9
305,36,32.4
306,9,8.1
307,5,4.5
308,14,12.6
309,12,10.8
310,17,15.3
311,7,6.3
312,26,23.4
313,34,30.6
314,42,37.8
315,38,34.2
316,28,25.2
317,44,39.6
318,9,8.1
319,36,32.4
320,38,34.2
321,12,10.8
322,40,36
323,50,45
324,35,31.5
325,9,8.1
326,5,4.5
327,16,14.4
328,31,27.9
329,50,45
330,20,18
331,8,7.2
332,35,31.5
333,14,12.6
334,47,42.3
335,11,9.9
336,36,32.4
337,22,19.8
338,30,27
339,23,20.7
340,38,34.2
341,17,15.3
342,6,5.4
343,6,5.4
344,42,37.8
345,39,35.1
346,28,25.2
347,17,15.3
348,11,9.9
349,33,29.7
350,35,31.5
351,24,21.6
352,36,32.4
353,34,30.6
354,37,33.3
355,40,36
356,12,10.8
357,47,42.3
358,33,29.7
359,43,38.7
360,16,14.4
361,15,13.5
362,47,42.3
363,6,5.4
364,39,35.1
365,14,12.6
366,33,29.7
367,32,28.8
368,49,44.1
369,49,44.1
370,8,7.2
371,44,39.6
372,37,33.3
373,31,27.9
374,36,32.4
375,18,16.2
376,25,22.5
377,11,9.9
378,25,22.5
379,8,7.2
380,44,39.6
381,7,6.3
382,29,26.1
383,11,9.9
384,33,29.7
385,24,21.6
386,9,8.1
387,14,12.6
388,27,24.3
389,31,27.9
390,45,40.5
391,9,8.1
392,34,30.6
393,36,32.4
394,31,27.9
395,15,13.5
396,46,41.4
397,34,30.6
398,13,11.7
399,26,23.4
400,5,4.5
401,48,43.2
402,5,4.5
403,39,35.1
404,23,20.7
405,35,31.5
406,18,16.2
407,20,18
408,46,41.4
409,46,41.4
410,30,27
411,50,45
412,14,12.6
413,38,34.2
414,22,19.8
415,43,38.7
416,16,14.4
417,43,38.7
418,12,10.8
419,20,18
420,19,17.1
421,25,22.5
422,42,37.8
423,33,29.7
424,7,6.3
425,12,10.8
426,21,18.9
427,45,40.5
428,20,18
429,45,40.5
430,23,20.7
431,28,25.2
432,47,42.3
433,21,18.9
434,47,42.3
435,47,42.3
436,24,21.6
437,25,22.5
438,30,27
439,10,9
440,40,36
441,41,36.9
442,37,33.3
443,38,34.2
444,11,9.9
445,14,12.6
446,7,6.3
447,41,36.9
448,28,25.2
449,21,18.9
450,49,44.1
451,30,27
452,15,13.5
453,50,45
454,12,10.8
455,28,25.2
456,44,39.6
457,38,34.2
458,28,25.2
459,8,7.2
460,17,15.3
461,36,32.4
462,31,27.9
463,9,8.1
464,48,43.2
465,23,20.7
466,34,30.6
467,11,9.9
468,33,29.7
469,18,16.2
470,19,17.1
471,18,16.2
472,32,28.8
473,39,35.1
474,20,18
