Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Region,Continent,Origin,Associated Disaster,OFDA Response,Disaster Magnitude Value,Latitude,Longitude,Start Year,End Year,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",Country,Location
1909,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1909,1909,40,,,,,,,Indonesia,Bali
1914,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-3924,101.82,1914,1914,20,20,,,20,,,Indonesia,Kepahyang
1914,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-3924,101.82,1914,1914,20,20,,,20,,,Indonesia, Bengkulu (Sumatera)
1917,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-7,116,1917,1917,15000,,,,,,,Indonesia,Bali
1919,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1919,1919,5000,,,,,,,Indonesia,Sumatra
1924,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,,-7.21,109.56,1924,1924,727,,,11250,11250,,,Indonesia,Wonosobo (Central Java)
1927,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,6,-0.842,120764,1927,1927,50,50,,,50,,,Indonesia,Sulawesi
1927,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,6,-0.842,120764,1927,1927,50,50,,,50,,,Indonesia, Donggala
1928,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,Volacno and landslide,,,3,8.30 S,121.70 E,1928,1928,128,,,,,,,Indonesia,Flores sea
1930,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1930,1930,1369,,,,,,,Indonesia,Java Island
1931,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1931,1931,1300,,,,,,,Indonesia,Bali
1932,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,0.5,126,1932,1932,6,115,,2960,3075,,,Indonesia,North Sulawesi
1936,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,7,6.1,94.7,1936,1936,9,20,,,20,,,Indonesia,Banda Aceh
1936,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,,3.5,97.5,1936,1936,17,,,,,,,Indonesia,Tapanuli
1936,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,,3.5,97.5,1936,1936,17,,,,,,,Indonesia, Karo (North Sumatera)
1938,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-0.557,118881,1938,1938,,,920,4710,5630,,,Indonesia,Tomini Gulf (Central Sulawesi)
1942,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1942,1942,13,,,,,,,Indonesia,Near Kupang
1942,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1942,1942,13,,,,,,,Indonesia, Timor
1943,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-8591,109803,1943,1943,213,2096,14000,,16096,,,Indonesia,Jogyakarta (Central Java)
1951,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1951,1951,1300,,,,,,,Indonesia,Bali
1953,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1953,1953,114,,,,,,,Indonesia,Bali
1954,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1954,1954,37,,,,,,,Indonesia,Bali
